id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98153725,MH14LL2853,2991.7922,18.508796166666663,73.868273,24.51,46.38691,51.1884,4.0028,2025-01-01 16:24:17.000,2025-01-01 16:23:58.868,1,6070.218901848453
98154082,MH14LL2853,2991.9822,18.510491833333333,73.86835166666667,0.62,46.5768,50.851,4.0016,2025-01-01 16:25:17.000,2025-01-01 16:24:58.868,1,5991.8378170932765
98122652,MH14LL2853,2975.4487,18.4668265,73.882899,10.68,30.044384,51.2607,4.0016,2025-01-01 15:01:07.000,2025-01-01 15:00:58.868,1,8094.201441802749
98123048,MH14LL2853,2975.7166,18.466900666666668,73.88038666666667,14.79,30.311993,50.6823,4.0016,2025-01-01 15:02:07.000,2025-01-01 15:01:58.868,1,8223.067665070335
98123052,MH14LL2858,2519.396,18.53116733333333,73.929579,5.12,3.5808463,51.1161,4.0052,2025-01-01 15:02:07.000,2025-01-01 15:01:27.106,1,889.5268095061249
98123423,MH14LL2853,2976.0208,18.466294833333333,73.87787783333333,4.9,30.616379,50.7064,4.0005,2025-01-01 15:03:08.000,2025-01-01 15:02:58.868,1,8421.259316176138
98123427,MH14LL2858,2519.4543,18.53166433333333,73.929518,1.01,3.6390514,51.333,4.0052,2025-01-01 15:03:08.000,2025-01-01 15:02:27.106,1,891.7686668931486
98123811,MH14LL2853,2976.271,18.464735333333334,73.877547,14.3,30.866524,51.5499,4.0016,2025-01-01 15:04:08.000,2025-01-01 15:03:58.868,1,8585.393189196484
98123832,MH14LX0059,4062.3633,18.48195233333333,73.9419315,0.25,0.3203108,52.1765,3.6478,2025-01-01 15:04:08.000,2025-01-01 15:03:50.892,1,5766.49025046531
98124206,MH14LL2853,2976.5498,18.462239,73.87765766666666,14.96,31.145159,51.333,4.0016,2025-01-01 15:05:08.000,2025-01-01 15:04:58.868,1,8813.606244089164
98124224,MH14LX0059,4062.3652,18.481957,73.94192783333334,0.19,0.3222606,52.0801,3.6466,2025-01-01 15:05:08.000,2025-01-01 15:04:30.892,1,5765.8654490569215
98124621,MH14LL2853,2976.8262,18.461267166666666,73.87596183333333,16.46,31.421741,51.3571,4.0016,2025-01-01 15:06:09.000,2025-01-01 15:05:58.868,1,8999.362909786912
